BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,1.0,0,88400,11.0,6471427.0,144.17,45
NonResidential,Warehouse,NORTHWEST,1.0,1.0,0,52311,93.0,1113488.0,55.69,55
NonResidential,Other,LAKE UNION,1.0,5.0,69710,71421,,2904225.0,20.25,6
NonResidential,Large Office,LAKE UNION,1.0,5.0,70067,106465,44.0,6743116.0,47.01,14
NonResidential,Warehouse,BALLARD,1.0,1.0,0,52500,4.0,3415305.0,63.32,42
NonResidential,Warehouse,BALLARD,1.0,2.0,0,57300,54.0,4547379.0,153.73,56
NonResidential,Large Office,DOWNTOWN,1.0,6.0,0,350310,89.0,18586464.0,113.5,99
NonResidential,Large Office,DOWNTOWN,1.0,55.0,285000,1115000,94.0,51625548.0,569.61,27
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,25920,72450,45.0,6525887.0,47.24,109
NonResidential,Hotel,DOWNTOWN,1.0,21.0,0,305548,61.0,32135246.0,1391.7,85
NonResidential,Large Office,DOWNTOWN,1.0,46.0,512608,1023998,90.0,55813996.0,530.7,26
NonResidential,Large Office,DOWNTOWN,1.0,10.0,0,135918,86.0,6474724.0,191.83,57
NonResidential,Retail Store,DOWNTOWN,1.0,4.0,0,79957,34.0,5680701.0,39.6,101
NonResidential,Large Office,DOWNTOWN,1.0,4.0,0,127268,70.0,7758182.0,138.28,94
NonResidential,Large Office,DOWNTOWN,1.0,29.0,0,500000,89.0,19150024.0,133.5,32
NonResidential,Large Office,DOWNTOWN,1.0,10.0,0,132326,65.0,6664740.0,72.46,89
