BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,2.0,0,58640,,3928695.25,27.39,51
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,0,1172127,,58761304.0,1246.55,17
NonResidential,Hotel,GREATER DUWAMISH,1.0,9.0,14567,153882,64.0,12726789.0,388.37,11
NonResidential,Warehouse,GREATER DUWAMISH,0.0,4.0,0,79600,34.0,2411402.25,16.81,100
SPS-District K-12,K-12 School,LAKE UNION,1.0,4.0,0,241066,79.0,7791957.0,270.97,19
Campus,Large Office,GREATER DUWAMISH,14.0,2.0,31874,302494,,53466684.0,748.55,36
NonResidential,Other,NORTH,1.0,6.0,335109,84739,,9134963.0,162.41,8
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4.0,0,110785,,10557910.0,92.91,14
NonResidential,Hotel,DOWNTOWN,1.0,0.0,0,934292,,65047284.0,1638.46,17
NonResidential,Hospital,CENTRAL,6.0,5.0,0,597519,34.0,143423024.0,4906.33,26
SPS-District K-12,K-12 School,DELRIDGE,1.0,1.0,0,71714,87.0,2371358.0,36.24,17
NonResidential,Warehouse,LAKE UNION,1.0,3.0,8161,67236,91.0,549181.375,9.63,25
NonResidential,Hospital,EAST,9.0,8.0,0,1158691,29.0,293090784.0,10734.57,16
NonResidential,Senior Care Community,DOWNTOWN,1.0,5.0,12611,90185,,10105379.0,193.94,17
SPS-District K-12,K-12 School,SOUTHWEST,1.0,2.0,0,208981,80.0,8164853.0,207.79,14
NonResidential,K-12 School,NORTHEAST,1.0,2.0,0,55653,98.0,1377627.0,72.88,88
NonResidential,Hotel,NORTHEAST,1.0,16.0,0,106860,49.0,11935719.0,469.57,85
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,5.0,0,50759,62.0,3147042.0,49.09,44
NonResidential,Worship Facility,NORTHEAST,1.0,2.0,0,56772,46.0,2439484.75,84.57,64
NonResidential,Worship Facility,NORTHEAST,1.0,3.0,0,103000,42.0,4854429.5,149.93,64
SPS-District K-12,K-12 School,NORTHEAST,1.0,3.0,0,269297,80.0,10498344.0,225.19,10
SPS-District K-12,K-12 School,NORTHEAST,1.0,3.0,0,75174,77.0,2733846.0,71.86,15
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,75214,88.0,2334260.0,43.98,13
SPS-District K-12,K-12 School,SOUTHWEST,1.0,3.0,0,134918,91.0,3822102.5,69.42,11
SPS-District K-12,K-12 School,CENTRAL,1.0,2.0,0,64414,67.0,2295176.5,16.0,25
SPS-District K-12,K-12 School,NORTHWEST,1.0,3.0,0,92437,78.0,4626443.0,201.05,89
NonResidential,Other,DOWNTOWN,1.0,7.0,0,128766,,6057410.0,57.21,102
NonResidential,Other,DOWNTOWN,1.0,15.0,0,230880,,62197176.0,433.6,61
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,3.0,0,204961,94.0,8190809.0,226.06,9
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,76086,,3267564.0,101.41,43
NonResidential,Medical Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,39000,151000,1.0,28731502.0,661.04,89
NonResidential,Hotel,DOWNTOWN,1.0,4.0,0,122309,8.0,25453690.0,1060.13,55
Campus,Other,DOWNTOWN,4.0,3.0,0,215476,,24017770.0,639.39,21
NonResidential,Hotel,DOWNTOWN,1.0,8.0,38800,215473,29.0,26659244.0,780.84,13
Nonresidential COS,Other,DOWNTOWN,1.0,2.0,0,69400,,14833476.0,301.76,36
NonResidential,Mixed Use Property,DOWNTOWN,1.0,1.0,0,62900,,10394330.0,377.27,116
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,56500,98.0,1380293.625,44.22,102
NonResidential,Warehouse,GREATER DUWAMISH,1.0,4.0,0,203504,72.0,3785282.5,26.39,8
NonResidential,Large Office,DOWNTOWN,0.0,3.0,26731,74003,20.0,9788717.0,68.24,48
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,18504,59158,57.0,5007401.0,68.19,35
NonResidential,Large Office,DOWNTOWN,1.0,12.0,21790,212210,39.0,18661606.0,149.27,38
NonResidential,Large Office,DOWNTOWN,1.0,25.0,0,369996,74.0,24755086.0,172.58,27
NonResidential,Retail Store,DOWNTOWN,1.0,10.0,0,693450,93.0,40062888.0,398.19,91
NonResidential,Large Office,DOWNTOWN,1.0,33.0,0,791396,89.0,40847752.0,313.3,40
NonResidential,Large Office,DOWNTOWN,1.0,23.0,205076,542671,90.0,30985420.0,359.11,16
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,10.0,7757,55652,90.0,3444270.0,170.51,90
NonResidential,Large Office,DOWNTOWN,1.0,17.0,30000,174790,91.0,7739699.0,100.26,86
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,73399,61.0,3757006.0,26.19,100
NonResidential,Large Office,DOWNTOWN,1.0,20.0,32334,233517,90.0,14633233.0,563.25,47
NonResidential,Large Office,DOWNTOWN,1.0,25.0,228668,529375,95.0,27018020.0,229.25,7
NonResidential,Large Office,DOWNTOWN,1.0,12.0,0,206000,91.0,8580279.0,222.19,48
NonResidential,Large Office,DOWNTOWN,1.0,36.0,154972,669915,97.0,39523852.0,275.54,7
NonResidential,Large Office,DOWNTOWN,1.0,16.0,141600,339240,94.0,17867002.0,130.73,26
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,7.0,0,89550,85.0,3903259.75,51.67,116
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,0,89355,66.0,4178233.5,31.97,116
NonResidential,Large Office,DOWNTOWN,1.0,15.0,0,388934,89.0,18576900.0,213.23,94
NonResidential,Large Office,DOWNTOWN,1.0,22.0,0,384302,98.0,10062436.0,70.15,87
NonResidential,Large Office,DOWNTOWN,1.0,17.0,84600,293925,69.0,24906132.0,940.47,58
NonResidential,Large Office,DOWNTOWN,1.0,47.0,0,1323055,94.0,44683660.0,318.97,33
NonResidential,Large Office,DOWNTOWN,1.0,41.0,129432,460489,84.0,24603420.0,171.52,30
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,6.0,1392,89699,,1835804.875,46.56,66
NonResidential,Large Office,DOWNTOWN,1.0,8.0,62993,94948,81.0,3743228.5,26.1,48
NonResidential,Large Office,DOWNTOWN,1.0,29.0,197231,438072,95.0,18221224.0,139.72,25
NonResidential,Large Office,DOWNTOWN,1.0,6.0,25920,146922,,41399504.0,362.66,58
NonResidential,Large Office,DOWNTOWN,1.0,34.0,162604,614158,81.0,32552428.0,231.32,36
NonResidential,Large Office,DOWNTOWN,1.0,14.0,23775,162993,95.0,9641043.0,218.53,44
NonResidential,Large Office,DOWNTOWN,1.0,49.0,368980,754455,89.0,45163308.0,627.87,47
NonResidential,Large Office,DOWNTOWN,1.0,37.0,164420,888049,93.0,41213584.0,287.32,14
NonResidential,Large Office,DOWNTOWN,1.0,42.0,171500,446184,28.0,69519808.0,546.65,43
NonResidential,Large Office,DOWNTOWN,1.0,8.0,0,201480,91.0,8921778.0,175.95,109
Nonresidential COS,Large Office,DOWNTOWN,1.0,63.0,159600,1195387,89.0,61576184.0,429.27,26
Nonresidential COS,Large Office,DOWNTOWN,1.0,14.0,0,310490,,21169502.0,380.37,15
Nonresidential COS,Large Office,DOWNTOWN,1.0,8.0,30660,168870,69.0,13214416.0,298.61,13
NonResidential,Large Office,DOWNTOWN,1.0,13.0,52703,319539,98.0,13843866.0,216.24,10
NonResidential,Large Office,DOWNTOWN,1.0,7.0,8296,106099,99.0,2746560.75,70.17,107
NonResidential,Retail Store,NORTHEAST,1.0,2.0,0,89200,83.0,6461937.0,89.47,38
NonResidential,Large Office,NORTHEAST,1.0,23.0,0,474546,77.0,28450436.0,198.34,45
NonResidential,Other,NORTHEAST,1.0,5.0,0,36000,96.0,30038490.0,209.41,47
NonResidential,Small- and Mid-Sized Office,NORTHEAST,0.0,5.0,0,99005,70.0,4728488.5,119.03,55
NonResidential,Large Office,NORTHEAST,1.0,6.0,44248,90803,88.0,4426136.0,30.86,14
NonResidential,Large Office,NORTHEAST,1.0,5.0,82720,137929,93.0,7046345.5,49.12,14
NonResidential,Self-Storage Facility,DOWNTOWN,1.0,5.0,0,93660,,873221.875,6.09,52
NonResidential,Large Office,DOWNTOWN,1.0,18.0,64660,349055,79.0,24224888.0,168.88,36
NonResidential,Mixed Use Property,DOWNTOWN,1.0,11.0,195621,185760,94.0,9765777.0,72.42,16
NonResidential,Large Office,DOWNTOWN,1.0,20.0,118744,378769,65.0,26823218.0,197.19,28
NonResidential,Large Office,DOWNTOWN,1.0,24.0,116721,427155,79.0,25307744.0,176.43,37
NonResidential,Mixed Use Property,DOWNTOWN,1.0,4.0,38700,70647,,8218155.5,91.13,36
NonResidential,Large Office,DOWNTOWN,1.0,6.0,124216,272410,64.0,20361158.0,141.95,34
NonResidential,Large Office,DOWNTOWN,1.0,6.0,83591,203880,74.0,14913424.0,103.97,14
NonResidential,Large Office,DOWNTOWN,1.0,3.0,48512,144118,94.0,5357833.0,46.03,69
NonResidential,Large Office,DOWNTOWN,1.0,8.0,61986,191117,3.0,29949248.0,208.79,32
NonResidential,Supermarket/Grocery Store,NORTHWEST,1.0,1.0,0,60880,54.0,14293972.0,384.27,60
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,5.0,0,50176,77.0,2933288.75,24.91,116
NonResidential,Large Office,DOWNTOWN,1.0,42.0,0,304346,72.0,23262244.0,741.3,104
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,128800,97.0,1809101.5,78.92,39
NonResidential,Large Office,DOWNTOWN,1.0,8.0,0,321945,76.0,13656587.0,355.05,89
NonResidential,Large Office,DOWNTOWN,1.0,22.0,0,336330,77.0,18967014.0,530.66,52
NonResidential,Large Office,DOWNTOWN,1.0,21.0,0,298426,79.0,27076922.0,1084.79,56
NonResidential,Large Office,DOWNTOWN,1.0,42.0,0,635824,69.0,48479988.0,337.97,40
NonResidential,Hotel,DOWNTOWN,1.0,12.0,0,542305,45.0,56485204.0,2573.75,93
NonResidential,Retail Store,SOUTHEAST,1.0,2.0,0,291940,80.0,11688601.0,162.45,36
NonResidential,Mixed Use Property,GREATER DUWAMISH,0.0,1.0,0,88400,42.0,4383100.5,116.03,46
NonResidential,Warehouse,NORTHWEST,1.0,1.0,0,52311,96.0,930611.875,48.65,56
NonResidential,Other,LAKE UNION,1.0,5.0,69710,71421,,3085814.0,21.51,7
NonResidential,Large Office,LAKE UNION,1.0,5.0,70067,106465,60.0,5803409.0,40.46,15
NonResidential,Warehouse,BALLARD,1.0,1.0,0,52500,2.0,3989399.0,70.47,43
NonResidential,Warehouse,BALLARD,1.0,2.0,0,57300,55.0,4560492.0,156.67,57
NonResidential,Large Office,DOWNTOWN,1.0,6.0,0,350310,90.0,18102026.0,224.36,100
NonResidential,Large Office,DOWNTOWN,1.0,55.0,285000,1115000,92.0,53079164.0,588.9,28
NonResidential,Hotel,DOWNTOWN,1.0,21.0,0,305548,58.0,33729336.0,1510.85,86
NonResidential,Large Office,DOWNTOWN,1.0,46.0,512608,1023998,89.0,56606136.0,530.18,27
NonResidential,Large Office,DOWNTOWN,1.0,10.0,0,135918,91.0,6423556.5,193.72,58
NonResidential,Retail Store,DOWNTOWN,1.0,4.0,0,79957,25.0,5252131.0,36.61,102
NonResidential,Large Office,DOWNTOWN,1.0,4.0,0,127268,71.0,7711757.5,148.11,95
NonResidential,Large Office,DOWNTOWN,1.0,29.0,0,500000,93.0,18848780.0,131.4,33
NonResidential,Large Office,DOWNTOWN,0.0,10.0,0,132326,72.0,6029020.0,65.2,90
NonResidential,Large Office,DOWNTOWN,1.0,6.0,13200,96630,45.0,7335905.5,51.14,32
NonResidential,Hotel,DOWNTOWN,0.0,19.0,59280,272787,6.0,37785552.0,1468.5,43
NonResidential,Large Office,DOWNTOWN,1.0,10.0,0,130513,49.0,11651200.0,318.08,106
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,8.0,0,60660,,2586116.0,18.03,96
NonResidential,Large Office,DOWNTOWN,1.0,14.0,0,137350,89.0,6366084.5,202.99,87
NonResidential,Large Office,DOWNTOWN,1.0,15.0,0,151039,84.0,5446624.0,238.09,87
NonResidential,Large Office,DOWNTOWN,1.0,30.0,134662,620338,72.0,52226204.0,793.05,31
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,63540,72.0,3518459.5,74.83,110
NonResidential,Large Office,DOWNTOWN,1.0,10.0,0,130893,80.0,6962073.0,48.54,89
NonResidential,Mixed Use Property,DOWNTOWN,1.0,5.0,0,79920,,3009463.75,20.98,106
Campus,Mixed Use Property,DOWNTOWN,1.0,4.0,0,137400,,14940504.0,316.2,108
NonResidential,Other,DOWNTOWN,1.0,6.0,86429,61423,,9671619.0,185.03,20
NonResidential,Other,DOWNTOWN,0.0,4.0,166960,100375,,7273155.5,147.75,20
NonResidential,Large Office,DOWNTOWN,1.0,56.0,389860,1215718,97.0,49517704.0,525.78,27
NonResidential,Large Office,DOWNTOWN,1.0,36.0,0,794592,96.0,26689658.0,216.43,36
NonResidential,Large Office,DOWNTOWN,1.0,21.0,93204,363100,74.0,19397324.0,135.23,45
NonResidential,Large Office,DOWNTOWN,1.0,12.0,15140,100717,89.0,4757299.5,33.17,30
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,17500,70000,72.0,4549892.0,31.72,17
NonResidential,Large Office,DOWNTOWN,1.0,11.0,184776,189629,72.0,13329024.0,92.92,18
NonResidential,Other,DOWNTOWN,1.0,12.0,38000,155500,,14436982.0,100.65,31
NonResidential,Large Office,DOWNTOWN,1.0,11.0,0,102846,96.0,5327249.5,281.55,93
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,4.0,0,52800,83.0,2429021.0,44.48,91
Campus,Mixed Use Property,DOWNTOWN,3.0,10.0,0,258497,,20779796.0,418.9,103
NonResidential,Retail Store,DOWNTOWN,1.0,8.0,0,861702,,17666646.0,328.83,87
NonResidential,Other,EAST,1.0,5.0,97400,109550,,19295226.0,249.09,17
NonResidential,Other,DOWNTOWN,1.0,6.0,0,1400000,,0.0,0.0,26
NonResidential,Other,EAST,1.0,9.0,0,46710,,4169431.5,130.69,28
NonResidential,Medical Office,EAST,1.0,3.0,104000,162000,65.0,13911761.0,201.15,71
NonResidential,Medical Office,EAST,1.0,14.0,407795,282363,58.0,21156670.0,147.49,24
NonResidential,Mixed Use Property,LAKE UNION,1.0,6.0,177660,200783,100.0,55073120.0,456.22,15
NonResidential,Mixed Use Property,LAKE UNION,1.0,6.0,104922,108912,100.0,75073888.0,530.59,15
NonResidential,Hotel,LAKE UNION,1.0,5.0,29409,79608,34.0,9474745.0,243.66,37
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,38452,237282,77.0,16373232.0,114.14,35
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,123061,59.0,1987934.625,13.86,15
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,59090,45.0,2756214.75,117.11,53
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,106000,93.0,763364.5,5.32,53
NonResidential,Large Office,LAKE UNION,1.0,3.0,38400,120200,19.0,18309150.0,236.9,54
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,119661,97.0,775729.1875,5.44,56
NonResidential,Large Office,LAKE UNION,1.0,7.0,44728,94472,81.0,4342597.0,30.27,15
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,6.0,33921,61800,95.0,3063504.5,21.36,32
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2.0,5.0,115228,98055,83.0,5661689.5,39.47,20
NonResidential,Large Office,LAKE UNION,1.0,3.0,47656,56041,7.0,11319836.0,374.92,15
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,5.0,0,74880,56.0,5134607.5,35.8,42
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,6.0,0,88774,53.0,6029121.5,42.03,37
NonResidential,Large Office,NORTH,1.0,5.0,0,122250,93.0,5535626.0,38.59,33
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,4.0,0,53730,20.0,4742869.0,33.06,37
NonResidential,Small- and Mid-Sized Office,DELRIDGE,1.0,3.0,0,55593,55.0,4224872.5,93.23,56
NonResidential,Large Office,LAKE UNION,1.0,4.0,60960,73096,54.0,4695139.0,32.73,34
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,158415,25.0,22394416.0,454.49,11
NonResidential,Large Office,LAKE UNION,1.0,8.0,0,287819,,48406556.0,349.07,87
NonResidential,Other,EAST,1.0,8.0,0,158738,,61762380.0,1268.87,41
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,28800,58195,81.0,2991674.75,20.86,31
NonResidential,Retail Store,BALLARD,1.0,1.0,0,164437,62.0,18390344.0,326.18,17
NonResidential,Large Office,LAKE UNION,1.0,5.0,66234,118248,95.0,5671256.0,40.47,7
NonResidential,Laboratory,LAKE UNION,1.0,3.0,0,55200,,11594121.0,269.71,88
NonResidential,Laboratory,LAKE UNION,1.0,4.0,111793,129366,,33713876.0,849.83,13
NonResidential,Large Office,LAKE UNION,1.0,6.0,52582,86700,96.0,3238216.0,22.57,12
NonResidential,Large Office,LAKE UNION,1.0,5.0,98700,172371,96.0,7851334.5,61.93,7
NonResidential,Warehouse,LAKE UNION,1.0,5.0,0,127800,56.0,2767491.0,29.53,102
NonResidential,Large Office,LAKE UNION,1.0,5.0,206597,353919,71.0,30083496.0,632.4,14
NonResidential,Large Office,LAKE UNION,1.0,6.0,95000,131592,49.0,11963428.0,94.64,15
Campus,Other,LAKE UNION,1.0,5.0,0,535947,,131373880.0,3995.45,19
NonResidential,Mixed Use Property,LAKE UNION,1.0,5.0,50654,109046,,31371618.0,726.96,13
NonResidential,Large Office,LAKE UNION,1.0,4.0,73673,136143,97.0,6917478.5,122.68,10
NonResidential,Large Office,LAKE UNION,1.0,6.0,109905,193198,97.0,7519466.5,69.59,10
NonResidential,Mixed Use Property,LAKE UNION,1.0,3.0,0,67380,66.0,2755829.0,74.1,62
NonResidential,Laboratory,LAKE UNION,1.0,4.0,0,102235,,24395228.0,587.16,53
NonResidential,Mixed Use Property,LAKE UNION,1.0,5.0,153684,282813,,45252356.0,1019.53,8
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,20826,67236,80.0,3415561.25,23.81,42
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,20416,66762,69.0,3632613.75,25.32,44
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,20416,66762,86.0,3493093.75,24.35,46
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,21600,66400,75.0,3484915.5,24.29,45
NonResidential,Medical Office,NORTHEAST,1.0,4.0,88405,108344,5.0,19165116.0,477.87,28
NonResidential,Medical Office,NORTHEAST,1.0,4.0,95281,95995,21.0,8422861.0,77.99,22
NonResidential,Self-Storage Facility,BALLARD,2.0,2.0,0,111445,,5697472.5,163.83,70
NonResidential,Warehouse,SOUTHWEST,1.0,4.0,0,98475,83.0,1090496.625,22.44,19
NonResidential,Hospital,LAKE UNION,1.0,7.0,150455,201075,23.0,42709624.0,1032.63,16
NonResidential,Supermarket/Grocery Store,NORTH,1.0,2.0,187878,121087,78.0,14512786.0,277.98,21
NonResidential,Supermarket/Grocery Store,GREATER DUWAMISH,1.0,1.0,0,63225,100.0,6522551.5,45.47,8
Nonresidential COS,Other,DELRIDGE,0.0,1.0,0,113780,,3574542.25,121.98,61
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,243044,100.0,1396082.25,41.8,17
NonResidential,Other,LAKE UNION,1.0,3.0,156312,123940,,11521702.0,80.32,15
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1.0,3.0,12998,53464,,6876439.5,47.94,64
NonResidential,Retail Store,NORTHWEST,1.0,1.0,0,131387,72.0,8773058.0,110.46,19
NonResidential,Warehouse,NORTHWEST,1.0,3.0,0,94400,38.0,784364.5,10.24,17
NonResidential,Other,NORTHWEST,6.0,1.0,0,111900,,9814820.0,226.43,52
NonResidential,Supermarket/Grocery Store,NORTHWEST,0.0,1.0,0,144776,56.0,13424079.0,237.39,32
NonResidential,Retail Store,NORTHWEST,1.0,1.0,0,114000,79.0,17225444.0,553.27,49
NonResidential,Supermarket/Grocery Store,NORTHWEST,1.0,1.0,0,50083,78.0,8663691.0,158.92,19
NonResidential,Large Office,LAKE UNION,1.0,3.0,28645,95426,73.0,4991360.5,34.9,28
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,36528,53472,84.0,3897738.0,27.17,16
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,33709,62332,70.0,5413418.0,37.74,15
NonResidential,Large Office,LAKE UNION,1.0,3.0,114829,166128,96.0,11325513.0,94.47,17
NonResidential,Large Office,LAKE UNION,1.0,4.0,103032,140302,89.0,8651835.0,85.01,17
NonResidential,Mixed Use Property,DOWNTOWN,1.0,6.0,0,154660,,52960796.0,1623.34,25
NonResidential,Large Office,GREATER DUWAMISH,1.0,5.0,121375,268920,95.0,7683885.0,53.57,34
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,90000,87.0,1429146.375,17.17,49
NonResidential,Retail Store,GREATER DUWAMISH,1.0,1.0,0,50200,,1047461.0,32.22,50
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,6.0,6200,87833,,4758198.0,120.24,91
NonResidential,Warehouse,BALLARD,1.0,2.0,0,63240,100.0,227566.7031,8.15,75
NonResidential,Other,BALLARD,1.0,5.0,182454,140415,,17085344.0,413.35,8
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,4.0,23400,106893,,465533.3125,3.25,28
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1.0,4.0,0,106041,94.0,1123943.0,25.58,19
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3.0,0,94470,,1000796.875,33.18,60
NonResidential,Large Office,DOWNTOWN,1.0,10.0,38186,143508,88.0,7637986.0,53.25,14
NonResidential,Retail Store,NORTHEAST,1.0,2.0,0,69492,100.0,318962.8125,2.22,29
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,22780,33.0,402051.3125,2.8,50
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,124472,62.0,5464762.0,237.36,49
NonResidential,Large Office,DOWNTOWN,1.0,22.0,98556,129000,95.0,8493420.0,59.21,46
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,50065,72.0,1529510.25,42.65,49
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,57540,26.0,2582687.0,76.68,47
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,85400,49.0,1536998.25,10.72,50
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,55700,63.0,519806.0938,3.62,50
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,53250,96.0,1794187.25,46.93,52
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,6.0,28427,50245,98.0,2179719.75,28.63,29
NonResidential,Warehouse,NORTHWEST,1.0,3.0,0,64660,89.0,325513.0,6.32,30
NonResidential,Mixed Use Property,EAST,1.0,2.0,19928,55916,,3684188.5,38.48,89
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,161678,25.0,9357230.0,204.81,48
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,101101,1.0,21795830.0,152.71,67
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,1.0,0,52613,80.0,1061458.25,32.02,36
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,0,56608,,5094197.0,74.31,76
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1.0,1.0,0,104099,,17695420.0,142.36,63
NonResidential,Supermarket/Grocery Store,NORTHWEST,1.0,1.0,7450,50734,41.0,14715262.0,414.43,13
NonResidential,Supermarket/Grocery Store,NORTH,1.0,1.0,0,58480,37.0,11054535.0,272.54,36
NonResidential,Large Office,LAKE UNION,1.0,6.0,124800,211900,95.0,9058916.0,54.92,11
NonResidential,Retail Store,LAKE UNION,1.0,4.0,159994,104014,42.0,9937707.0,190.61,20
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,0,62220,32.0,5444253.5,38.55,102
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1.0,0,65430,89.0,3181045.5,90.24,46
NonResidential,Large Office,NORTHEAST,1.0,3.0,42440,59850,26.0,6062770.5,49.17,10
NonResidential,Other,CENTRAL,1.0,3.0,0,80004,,12232124.0,85.28,90
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,323916,92.0,8024064.5,262.45,25
NonResidential,Mixed Use Property,GREATER DUWAMISH,1.0,14.0,0,304052,66.0,21027396.0,247.35,84
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,4.0,31210,54175,,4855036.5,33.85,38
NonResidential,Distribution Center,GREATER DUWAMISH,1.0,2.0,0,98024,94.0,1988334.5,42.25,27
NonResidential,Mixed Use Property,LAKE UNION,1.0,1.0,15000,50000,,2603931.25,63.89,88
NonResidential,Large Office,LAKE UNION,1.0,5.0,66620,77953,62.0,5135040.0,35.8,26
NonResidential,Retail Store,NORTH,1.0,2.0,0,302812,97.0,7290824.5,129.29,66
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,5.0,0,86400,53.0,9080022.0,293.55,42
NonResidential,Other,NORTH,0.0,2.0,0,98539,,5450441.5,46.49,47
NonResidential,Small- and Mid-Sized Office,NORTHWEST,1.0,6.0,0,86483,56.0,6361236.5,44.35,35
NonResidential,Distribution Center,DELRIDGE,1.0,1.0,0,51600,75.0,1124543.125,22.1,40
NonResidential,Warehouse,DELRIDGE,1.0,1.0,0,140520,61.0,2225512.0,57.73,48
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,5.0,62380,91649,95.0,4636396.5,58.88,30
NonResidential,Other,NORTHWEST,1.0,3.0,91935,69854,,6963616.5,49.28,11
NonResidential,Medical Office,NORTHWEST,1.0,3.0,0,63909,,4765753.5,33.22,11
NonResidential,Warehouse,NORTHWEST,1.0,2.0,0,53472,,971155.625,34.0,68
NonResidential,Warehouse,GREATER DUWAMISH,1.0,1.0,0,50417,14.0,1847401.0,58.67,36
NonResidential,Restaurant,DOWNTOWN,1.0,1.0,0,43728,,11508035.0,611.19,116
NonResidential,Medical Office,NORTHWEST,1.0,3.0,0,133298,21.0,15640994.0,295.48,55
NonResidential,Retail Store,NORTH,1.0,2.0,0,168619,78.0,6455828.5,91.1,51
NonResidential,Mixed Use Property,LAKE UNION,0.0,5.0,113318,138509,,47102428.0,1156.45,14
NonResidential,Large Office,LAKE UNION,1.0,4.0,71385,104500,91.0,6486377.5,45.22,16
NonResidential,Warehouse,GREATER DUWAMISH,1.0,2.0,0,104786,93.0,1028376.875,23.86,47
NonResidential,Other,GREATER DUWAMISH,1.0,1.0,41600,11440,,1770027.5,49.9,16
NonResidential,Other,GREATER DUWAMISH,0.0,1.0,0,110689,,2339814.25,107.83,43
